COUNTRY,TIME,VALUE ,MEASURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,1/1/09,1293,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,2/1/09,1222,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,3/1/09,1192,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,4/1/09,1197,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,5/1/09,1219,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,6/1/09,1212,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,7/1/09,1207,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,8/1/09,1235,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,9/1/09,1200,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,10/1/09,1227,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,11/1/09,1222,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,12/1/09,1203,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,1/1/10,1237,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,2/1/10,1219,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,3/1/10,1184,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,4/1/10,1194,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,5/1/10,1189,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,6/1/10,1193,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,7/1/10,1191,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,8/1/10,1198,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,9/1/10,1179,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,10/1/10,1210,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,11/1/10,1234,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,12/1/10,1219,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,1/1/11,1205,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,2/1/11,1219,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,3/1/11,1153,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,4/1/11,1174,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,5/1/11,1193,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,6/1/11,1202,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,7/1/11,1178,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,8/1/11,1183,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,9/1/11,1175,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,10/1/11,1194,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,11/1/11,1182,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,12/1/11,1106,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,1/1/12,1239,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,2/1/12,1221,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,3/1/12,1187,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,4/1/12,1234,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,5/1/12,1220,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,6/1/12,1226,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,7/1/12,1219,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,8/1/12,1216,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,9/1/12,1218,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,10/1/12,1221,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,11/1/12,1188,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,12/1/12,1183,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,1/1/13,1209,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,2/1/13,1212,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,3/1/13,1217,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,4/1/13,1209,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,5/1/13,1217,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
